"","sample","EGF receptor transactivation by GPCRs in cardiac hypertrophy (bp_114)","Signaling pathway from G-protein families (bp_119)","CREB phosphorylation through the activation of CaMKK (bp_1202)","CREB phosphorylation (bp_1222)","Class B GPCRs (secretin family receptors) (bp_1226)","Eicosanoid ligand-binding GPCRs (bp_1233)","Free fatty acid GPCRs (bp_1244)","G-protein-mediated events (bp_1246)","GPCR ligand binding (bp_1247)","Hormone ligand-binding GPCRs (bp_1249)","Lysosphingolipid and lysophosphatidic acid (LPA) GPCRs (bp_1253)","Nucleotide-like (purinergic) GPCRs (bp_1257)","Peptide GPCRs (bp_1260)","Amine ligand-binding GPCRs (bp_1270)","CREB phosphorylation through the activation of adenylate cyclase (bp_1496)","cAMP receptor, G-protein-independent pathways inferred from amoeba model (bp_1666)","Cell differentiation by G alpha (i/o) pathway inferred from mouse Neuro2A model (bp_1674)","G alpha s pathway (bp_1679)","G alpha q pathway (bp_1680)","G alpha i pathway (bp_1684)","cAMP cell motility pathway inferred from amoeba model (bp_1687)","G alpha 12 pathway (bp_1688)","G alpha 13 pathway (bp_1693)","Non-class A, B, C GPCRs (bp_1699)","G-protein signaling through tubby proteins (bp_173)","Small ligand GPCRs (bp_1734)","CREB transcription factor and its extracellular signals (bp_175)","Class A GPCRs (rhodopsin-like) (bp_1753)","Class C GPCRs (metabotropic glutamate and pheromone receptors) (bp_1756)","Nucleotide GPCRs (GPCRs) (bp_1774)","ChREBP regulation by carbohydrates and cAMP (bp_419)","Signaling by GPCR (bp_535)","Protein kinase A (PKA) at the centrosome (bp_58)","Activation of cAMP-dependent protein kinase, PKA (bp_6)","G-protein signaling pathways (bp_605)","G alpha (i) signaling events (bp_620)","G alpha (s) signaling events (bp_621)","G alpha (z) signaling events (bp_622)","G beta-gamma signaling through PI3K gamma (bp_630)","Gastrin-CREB signaling pathway via PKC and MAPK (bp_631)","IGF1 receptor signaling through beta-arrestin (bp_653)","GPCR downstream signaling (bp_657)","G alpha (12/13) signaling events (bp_661)","G-protein beta-gamma signalling (bp_678)","Angiotensin II-stimulated signaling through G-proteins and beta-arrestin (bp_706)","PKA activation in glucagon signaling (bp_708)","Seven transmembrane receptor signaling through beta-arrestin (bp_713)","G-protein-independent seven transmembrane receptor signaling (bp_730)","Attenuation of GPCR signaling (bp_76)","Beta-arrestins in GPCR desensitization (bp_78)","Beta-arrestin-dependent recruitment of Src kinases in GPCR signaling (bp_79)","G-protein activation (bp_904)","PKA-mediated phosphorylation of key metabolic factors (bp_961)","Activation of PKC through GPCRs (bp_98)"
"ACH000008","ACH000008",0.0145904382324989,-0.350830800895254,-0.34661792695132,0.124591481815163,0.00220804711427375,-0.0711279488289759,1.64166853992073,-0.127022000627607,0.0957262188801512,0.191114888462465,0.351547674812829,-0.218424839579758,0.167227780660619,-0.106435389021242,0.285995420612955,0.0272721047730925,-0.0379939703124701,-0.139461000892147,0.0152482988428829,-0.136584053115674,-0.245129793853201,-0.25131816567845,0.0442076098201363,0.00957851659862836,-0.831422515074167,-0.0228470843713476,-0.28788949893969,0.00160780616778417,-0.0990115780540266,-0.231705793156271,0.178257247805224,0.0189057755255741,0.0217645202229597,0.126173217011268,-0.180275799386244,0.0414082564607305,-0.117288498706067,-0.21632218213712,-0.505724489024463,0.111466446503306,-0.293469364939238,-0.149135658754297,-0.081270461925083,-0.0719196041574361,-0.191128028650799,-0.179827220637955,-0.129312731364791,-0.351148906208194,-0.112487334532582,-0.239250361908456,-0.302311891211646,-0.0516452820258389,-0.220565061979696,0.128085432516897
"ACH000014","ACH000014",0.201906946891864,-0.417824748033496,-0.545668903764524,-0.385107213730032,0.25363873792665,0.381702151388928,-0.31004422321997,-0.143787581543904,0.274147742275265,-0.146236662740105,0.644829564795054,0.0366727991595466,0.332425816245535,0.118946857638092,-0.249568567949399,-0.0545706824945863,0.0549926805238897,-0.0446402930077883,0.0957593661962987,-0.0258763058541436,-0.093980726473298,-0.108855456456098,0.113150692595451,0.191141550336191,-0.669318464408866,0.434878894343074,-0.317463725447361,0.20428820070026,0.101368480775103,-0.11697782648504,-0.031660569953441,0.134584028042207,-0.188640708328183,-0.394037317009019,-0.206209304258112,0.22033410056809,-0.00410929464584315,-0.181063990992655,-0.297349943090267,0.14376959251338,-0.251312294294701,-0.129127045085673,-0.0960038128630585,-0.00220960221420325,-0.129608477004121,-0.144986361764777,-0.0394346402298524,-0.206648010560239,0.0997775591401002,0.0534235561090013,-0.0428292394800968,-0.163951349660674,-0.0914160724706245,0.00116425542404225
"ACH000219","ACH000219",-0.190500012807397,-0.0872901723697812,-0.231704140334802,0.266285520047772,0.0361350366268345,-0.20593372337205,0.102826357684879,-0.145706453930153,-0.0719001031586133,-0.16858153354996,0.656631940415011,0.533380250966497,-0.166247884277277,-0.070412294048172,-0.769068542951168,-0.917643391792246,-0.226778880008936,-0.13645536187747,-0.113180166297793,-0.21763232065515,-0.119031972947539,-0.31552400949076,-0.145635613143817,0.126277641392157,-0.111414692973134,0.107607269604849,-0.518246240372082,-0.182824702534364,-0.130067798871656,0.411470624911556,0.025714365266807,-0.0608672066219999,-0.134171118917133,-0.231001052509242,-0.130132747241052,-0.238337849101137,-0.124139897831071,-0.209367164500551,-0.555787799592184,-0.00971240206618226,-0.166216500153688,-0.643347687126663,-0.022871639833207,-0.211326464076333,-0.139082395705634,-0.145936446098297,-0.115518800323186,-0.273724615081627,0.139930859721292,-0.288667177681014,-0.0945534860218609,-0.2601050659041,-0.475721798195842,0.0417751724393404
"ACH000304","ACH000304",0.10173327378843,0.659845995624063,0.872969494380145,0.061986916467225,0.498985055141675,0.0678365001881086,0.217394518205894,0.192598173672813,0.168238443624463,-0.021094447370429,0.725924147991411,0.101156630753867,-0.0580276333443573,0.387107884308129,0.0307302570300691,0.225986669881916,0.251852835577617,0.0610497582357788,-0.0305650795166693,0.142855800581913,-0.191914546201647,0.234751190683168,0.210486234442137,0.210182530985519,0.160844935389754,0.365445435091669,0.424538672580802,0.0905466296435126,-0.563983878190848,0.429075780444731,0.320588584089607,0.163120305062287,0.0635555740876659,-0.156143006908301,0.132634889839429,0.0349307228571999,0.14944704064698,0.0578022521131669,0.658433103801316,0.130896414015188,-0.135205940930768,-0.255352126033089,0.273254905479678,0.263117914206187,-0.163167013247384,0.0786605625738703,0.0523594462633566,-0.0443763401186851,0.401413888946558,-0.359819846709272,-0.240356188092961,0.301354600606149,0.699471233510917,0.249352527513446
"ACH000322","ACH000322",0.117856754820657,-0.157992293024971,-0.096311732443582,0.208892243922023,0.204003916375042,0.0146298432080565,-0.236038741499615,-0.0123867957036747,0.030080073742524,-0.506110290107819,0.800839989007093,0.110700350312393,-0.0721109646146514,0.220154810866984,-0.100667709403369,-0.0570665273694347,0.0609785224974893,-0.173214939950291,-0.105189703953116,-0.0180413404811149,-0.0854034686021462,0.040770062264287,-0.0877196813591452,0.160922558205752,-0.0992737739711016,0.0804676789570468,-0.0781000258752928,-0.0824483722857749,-0.259580048274076,0.0870246630606965,0.275862996493149,-0.0435540345731333,0.217252189110088,0.0899576692814617,-0.118999145611627,-0.0129273712807607,-0.0575235342681075,0.0773009498772844,0.395658427516932,0.110615113558303,0.0974682941465711,0.0635947018917052,-0.113615898978871,0.140646768423541,0.065639854528016,0.0711286285877181,-0.0194109476996667,-0.109654881174467,-0.119905103250442,-0.0471647899041613,0.179141031575468,-0.0682109266245175,-0.409253807692265,-0.0377169038009764
"ACH000348","ACH000348",0.202563545681685,0.154458735027228,0.38453483654269,0.140314573436801,0.473469398861986,0.872782417639439,-0.644768181704233,0.0761105793543127,0.471281763554555,-0.414928460621631,0.288332985026381,0.960257723093186,0.507737085416229,0.46982398903125,0.429058821714983,0.57503779326987,0.0537573538340107,0.074993141584949,0.0254443401086927,-0.0238520245345031,0.136948313007788,0.148005986226305,0.0592041109269465,0.538027638162165,-0.517357310189894,0.957536862479728,-0.0835828609011553,0.562617273858024,0.116587578894309,0.764821994899695,-0.357058296421054,0.291893262387941,-0.145736002307031,-0.0645326366657753,0.19347479625905,0.37951411018061,0.309009071232496,0.189643377292354,-0.126159110125459,0.396682801432135,0.0505564956682404,0.804853504866931,0.38392327471397,0.404046847435286,0.0597899179934298,0.136479097681856,-0.0368738111890443,0.105657120606706,0.00442781133923291,0.857665851908743,0.463744469438322,0.582379293116557,0.452087161247156,0.400565892433079
"ACH000401","ACH000401",-0.0829550997659057,0.188324503255159,0.0874772018011626,-0.367708144301156,-0.0626132866612966,0.0948553133326946,0.280394440362946,0.065721157303005,-0.000141305164097011,0.204836638245349,0.33084730807841,0.208781343330757,-0.0590226659000426,-0.00774100238575412,0.199209980450799,-0.131530425899048,0.118602771378802,0.0407316102996745,-0.0915941009102834,0.0658985244768694,-0.0909417267784244,0.134359818376711,0.0583806822696429,-0.100005258266194,0.0294450554048653,0.0219399159533313,-0.0549462262526562,0.0110292311719962,-0.203924416136115,0.422084553070504,0.229480274535191,0.0242393404182299,0.358909061217799,0.289829356956411,0.114820670234416,0.0355654056600815,0.0937092804874913,0.294698873782793,0.583876218856363,0.0909472776192872,0.0706817904648702,0.262275539392543,0.144170877074675,0.31232274608459,0.114179112993796,0.150340499323064,0.0826335289964682,0.211115463394451,0.0928392264208167,0.479508800211115,0.538545163549182,0.267969850337081,0.206751192394416,-0.0629281300978667
"ACH000404","ACH000404",-0.266849931067415,-0.33683308740081,-0.549319899740435,0.122752864084112,-0.0228610440834546,-0.398271630894208,-0.621625230852322,0.0218739849498903,-0.123984226151448,-0.0307162556303956,-0.451307998730095,-0.124687048046264,-0.166715201729866,-0.102197631640108,0.129525248786625,0.196338135008028,0.0243748181612805,-0.0686354187915089,-0.2279986137743,-0.083643322078458,0.101427876463855,-0.25046674904682,-0.10377368303546,-0.0936021994101273,-0.23864168531131,-0.5218083455585,-0.107859605914171,-0.132513224131482,0.43035237009504,-0.306301835026945,0.406243114038716,-0.060516295848071,-0.156643341837049,0.750939014638537,0.124985729967482,-0.0697253727271331,-0.0335159988287517,0.0693819065675484,-0.266089111125335,-0.180295406467039,0.0988948612603229,-0.244041078293532,0.0847559547703271,0.202364837272669,-0.00721202126061478,-0.0103191186467362,-0.0119681581458589,0.124586062269408,0.317719281804348,0.135901344958822,-0.277579295858272,0.0985889857621543,-0.334545077240959,-0.304789008736646
"ACH000423","ACH000423",-0.032504902960825,-0.448605687884583,0.462657888312613,-0.466155534040868,-0.136302803385204,-0.361552548402251,-0.79191079592547,-0.270370457709308,-0.149939410939545,0.231317419307479,-1.04529128365539,-0.504117901695771,-0.121029761232747,0.0788199841993,0.146063601672261,0.350658572803331,0.018671267704632,-0.0960670447666684,-0.278801727605015,-0.0986167322335631,-0.136711424397196,-0.29485241047105,-0.359057894877974,-0.214971794458269,1.018073898584,-0.480203926503429,-0.12296418249303,-0.11248247317213,0.0801075770195668,-0.232915663740505,-0.309557923892779,-0.140795866922004,-0.229215031126275,-1.9181148279734,-0.153084124933139,-0.103853731969873,-0.0459009414504673,-0.0226194738902229,0.116430665494398,-0.305003875678065,-0.118339296557888,-0.68181468876122,-0.173717014913549,-0.337494025474074,-0.224890208832452,-0.351722876293991,-0.139944469762605,0.0461722436132629,-0.244577104946724,0.244989986575136,0.305266728996995,-0.338223231022304,-0.563807853174901,-0.154989602995173
"ACH000425","ACH000425",-0.393652940076683,-0.193759094046915,-0.618851919719643,-0.263453868001665,-0.0623843001791186,0.199235688137937,-0.396761751914582,0.0105746427154163,-0.0828511304492351,0.916729818303432,0.12484914094569,0.459287206288893,-0.185108328870221,-0.0356920658111564,-0.0700884909037588,-0.180865716160215,-0.271245440865979,-0.141979917538383,-0.138278379153294,-0.157319283921781,0.0540662640695336,-0.241407096498153,-0.308603265948197,-0.201772105437183,0.645551246944754,0.000864885054892435,-0.428598194341541,-0.152865512268055,-0.10453753876791,0.581409708741334,0.126640582560638,-0.136675873511375,-0.465009364765441,0.35408732607202,-0.228025145755715,-0.177728780394267,-0.180338089974112,-0.0997508757265348,-0.760332072979343,-0.125733900319837,-0.210657105395403,-0.296270311515068,-0.364317939303146,-0.227885641399645,-0.0366990875767592,-0.113883750682543,-0.137750180839639,-0.303843413009173,0.0980229910043797,0.219006130172877,0.10981526452966,-0.141453315702437,1.29328188767073,0.0240174388556459
